"","SASID","Grade","City","Postal Code","Assignment Type","Growth Proficiency Category","SGP (Expectation=50)","Test 1 Benchmark Category","Test 2 Benchmark Category","Test 1 PR","Test 2 PR","IEP","TS Placement"
"304",1001239244,8,"Plymouth","02360","Star Math","Low Growth, High Proficiency",5,"At/Above Benchmark","At/Above Benchmark",83,59,0,"Gen Ed"
"305",1045035437,8,"Plymouth","02360","Star Math","High Growth, High Proficiency",59,"At/Above Benchmark","At/Above Benchmark",76,77,0,"Gen Ed"
"306",1032528532,8,"Plymouth","02360","Star Math","High Growth, High Proficiency",87,"At/Above Benchmark","At/Above Benchmark",74,86,0,"Gen Ed"
"307",1029828431,8,"Carver","02330","Star Math","High Growth, High Proficiency",62,"At/Above Benchmark","At/Above Benchmark",76,78,0,"Tier 1 ELA Gen Ed"
"308",1061430636,8,"Bourne","02532","Star Math","Low Growth, High Proficiency",2,"At/Above Benchmark","At/Above Benchmark",84,52,0,"Gen Ed"
"309",1076222430,8,"Plymouth","02360","Star Math","High Growth, High Proficiency",71,"At/Above Benchmark","At/Above Benchmark",65,72,0,"Tier 1 ELA Gen Ed"
"310",1032008130,8,"Wareham","02538","Star Math","Low Growth, Low Proficiency",24,"On Watch","Intervention",25,19,0,"Tier 1 Math Gen Ed"
"311",1086529533,8,"Plymouth","02360","Star Math","Low Growth, High Proficiency",2,"At/Above Benchmark","At/Above Benchmark",78,43,0,"Gen Ed"
"312",1058728432,8,"Marshfield","02050","Star Math","Low Growth, Low Proficiency",29,"Intervention","Intervention",15,13,1,"Learning Specialist"
"313",1080425632,8,"Wareham","02538","Star Math","High Growth, Low Proficiency",69,"Intervention","On Watch",19,32,1,"Tier 1 ELA Gen Ed"
"314",1006927931,8,"Kingston","02364","Star Math","Low Growth, High Proficiency",35,"At/Above Benchmark","At/Above Benchmark",80,73,0,"Gen Ed"
"315",1042500835,8,"Plymouth","02360","Star Math","Low Growth, Low Proficiency",7,"On Watch","Intervention",33,13,1,"Learning Specialist"
"316",1007203836,8,"Bourne","02562","Star Math","High Growth, High Proficiency",90,"At/Above Benchmark","At/Above Benchmark",79,89,0,"Gen Ed"
"317",1008134730,8,"Plymouth","360-4","Star Math","Low Growth, High Proficiency",16,"At/Above Benchmark","At/Above Benchmark",67,52,0,"Tier 1 ELA Gen Ed"
"318",1041997320,8,"Plymouth","02360","Star Math","Low Growth, High Proficiency",13,"At/Above Benchmark","At/Above Benchmark",73,87,0,"Gen Ed"
"319",1002194324,8,"Plymouth","02360","Star Math","Low Growth, High Proficiency",41,"On Watch","At/Above Benchmark",39,40,0,"Tier 1 ELA Gen Ed"
"320",1030630037,8,"Plymouth","02360","Star Math","High Growth, High Proficiency",69,"At/Above Benchmark","At/Above Benchmark",46,58,1,"Learning Specialist"
"321",1052420534,8,"Plymouth","02360","Star Math","High Growth, Low Proficiency",67,"Urgent Intervention","Intervention",5,12,1,"Learning Specialist"
"322",1021501833,8,"Plymouth","02360","Star Math","Low Growth, High Proficiency",28,"At/Above Benchmark","At/Above Benchmark",66,58,0,"Gen Ed"
"323",1011730037,8,"Carver","02330","Star Math","High Growth, High Proficiency",59,"At/Above Benchmark","At/Above Benchmark",69,72,0,"Gen Ed"
"324",1090730035,8,"Carver","02330","Star Math","High Growth, High Proficiency",53,"At/Above Benchmark","At/Above Benchmark",63,64,0,"Gen Ed"
"325",1065522431,8,"Plymouth","02360","Star Math","High Growth, High Proficiency",62,"On Watch","At/Above Benchmark",35,44,0,"Tier 1 Math Gen Ed"
"326",1099720438,8,"Sandwich","02563","Star Math","High Growth, High Proficiency",88,"At/Above Benchmark","At/Above Benchmark",64,80,0,"Tier 1 ELA Gen Ed"
"327",1078637646,8,"Carver","02330","Star Math","Low Growth, High Proficiency",24,"At/Above Benchmark","At/Above Benchmark",76,65,0,"Gen Ed"
"328",1014333243,8,"Plymouth","02360","Star Math","High Growth, High Proficiency",61,"At/Above Benchmark","At/Above Benchmark",71,74,0,"Gen Ed"
"329",1060204836,8,"Barnstable","02601","Star Math","Low Growth, Low Proficiency",6,"At/Above Benchmark","On Watch",64,38,0,"Gen Ed"
"330",1089038845,8,"Kingston","02364","Star Math","High Growth, High Proficiency",82,"At/Above Benchmark","At/Above Benchmark",78,86,0,"Gen Ed"
"331",1054333247,8,"Kingston","02364","Star Math","Low Growth, High Proficiency",21,"At/Above Benchmark","At/Above Benchmark",77,66,0,"Gen Ed"
"332",1047084726,8,"Wareham","02576","Star Math","Low Growth, High Proficiency",25,"At/Above Benchmark","At/Above Benchmark",61,52,0,"Tier 1 ELA Gen Ed"
"333",1021335030,8,"Sandwich","02563","Star Math","Low Growth, Low Proficiency",13,"On Watch","Intervention",25,13,1,"Learning Specialist"
"334",1024222432,8,"Plymouth","02360","Star Math","High Growth, High Proficiency",68,"At/Above Benchmark","At/Above Benchmark",76,80,0,"Gen Ed"
"335",1048527538,8,"Plymouth","02360","Star Math","High Growth, High Proficiency",66,"At/Above Benchmark","At/Above Benchmark",67,72,0,"Gen Ed"
"336",1029527537,8,"Plymouth","02360","Star Math","Low Growth, High Proficiency",38,"At/Above Benchmark","At/Above Benchmark",69,65,0,"Gen Ed"
"337",1073206934,8,"Plymouth","02360","Star Math","High Growth, Low Proficiency",71,"Intervention","On Watch",19,32,1,"Learning Specialist"
"338",1035326430,8,"Middleborough","02346","Star Math","High Growth, High Proficiency",78,"At/Above Benchmark","At/Above Benchmark",84,88,0,"Gen Ed"
"339",1088636130,8,"Kingston","02364","Star Math","High Growth, High Proficiency",62,"At/Above Benchmark","At/Above Benchmark",86,86,0,"Gen Ed"
"340",1057529733,8,"Plymouth","02360","Star Math","Low Growth, Low Proficiency",16,"Urgent Intervention","Urgent Intervention",5,3,1,"Learning Specialist"
"341",1079695326,8,"Plymouth","02360","Star Math","High Growth, High Proficiency",95,"At/Above Benchmark","At/Above Benchmark",68,86,0,"Gen Ed"
"342",1080725635,8,"Plymouth","02360","Star Math","High Growth, High Proficiency",89,"At/Above Benchmark","At/Above Benchmark",69,79,0,"Gen Ed"
"343",1029539035,8,"Carver","02330","Star Math","Low Growth, Low Proficiency",14,"Intervention","Urgent Intervention",10,5,1,"Tier 1 ELA Gen Ed"
"344",1024612830,8,"Wareham","02571","Star Math","Low Growth, Low Proficiency",31,"Intervention","Intervention",12,11,1,"Learning Specialist"
"345",1094343445,8,"Middleborough","02346","Star Math","Low Growth, High Proficiency",29,"At/Above Benchmark","At/Above Benchmark",68,60,0,"Tier 1 Math Gen Ed"
"346",1001401233,8,"Sandwich","02563","Star Math","Low Growth, High Proficiency",24,"At/Above Benchmark","At/Above Benchmark",74,64,0,"Gen Ed"
"347",1068110133,8,"Mashpee","02649","Star Math","High Growth, High Proficiency",52,"At/Above Benchmark","At/Above Benchmark",84,82,0,"Gen Ed"
"348",1027832635,8,"Plymouth","02360","Star Math","High Growth, High Proficiency",92,"At/Above Benchmark","At/Above Benchmark",48,72,1,"Learning Specialist"
"349",1055407241,8,"Plymouth","02360","Star Math","High Growth, High Proficiency",89,"At/Above Benchmark","At/Above Benchmark",53,72,0,"Gen Ed"
"350",1067323432,8,"Plymouth","02360","Star Math","High Growth, High Proficiency",57,"At/Above Benchmark","At/Above Benchmark",41,48,0,"Tier 1 ELA Gen Ed"
"351",1066205338,8,"Wareham","02571","Star Math","High Growth, High Proficiency",56,"At/Above Benchmark","At/Above Benchmark",50,55,1,"Learning Specialist"
"352",1017439244,8,"Kingston","02364","Star Math","Low Growth, High Proficiency",30,"At/Above Benchmark","At/Above Benchmark",88,81,0,"Gen Ed"
"353",1014523830,8,"Wareham","02532","Star Math","Low Growth, High Proficiency",4,"At/Above Benchmark","At/Above Benchmark",87,61,0,"Gen Ed"
"354",1021398928,8,"Sandwich","02537","Star Math","High Growth, High Proficiency",92,"At/Above Benchmark","At/Above Benchmark",65,83,0,"Gen Ed"
"355",1070996321,8,"Plymouth","02360","Star Math","High Growth, High Proficiency",89,"At/Above Benchmark","At/Above Benchmark",85,92,0,"Gen Ed"
"356",1046028734,8,"Barnstable","02648","Star Math","Low Growth, High Proficiency",11,"At/Above Benchmark","At/Above Benchmark",64,45,0,"Tier 1 ELA Gen Ed"
"357",1072198225,8,"Plymouth","02360","Star Math","Low Growth, High Proficiency",34,"At/Above Benchmark","At/Above Benchmark",81,74,0,"Tier 1 Math Gen Ed"
"358",1098083722,8,"Wareham","02576","Star Math","High Growth, Low Proficiency",50,"Urgent Intervention","Urgent Intervention",4,7,1,"Tier 1 Math Gen Ed"
"359",1069527532,8,"Middleborough","02346","Star Math","Low Growth, High Proficiency",47,"At/Above Benchmark","At/Above Benchmark",85,82,0,"Gen Ed"
"360",1011117330,9,"Carver","02330","Star Math","Low Growth, Low Proficiency",7,"At/Above Benchmark","Intervention",40,14,0,"Gen Ed"
